"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"id129353",0.126331795185575,-0.252356969103644,3.0414330302705,-0.0829730480967387,0.933872970201772,NA
"id129354",1.69423652115834,0.342799757594585,1.06135464504297,0.322983235806827,0.746707938129005,NA
"id129355",16.1297568890333,0.207309952221335,0.374911885467778,0.552956468591744,0.580293218826104,0.781953144346375
"id129356",22.0800747393688,-0.68833371788189,0.237623410885496,-2.89674201425203,0.0037705968723216,0.0347433568949633
"id129357",33.8109188257313,-0.381434110538233,0.261750972015824,-1.45724047403031,0.145050011817837,0.346508361564834
"id129358",22.8962726512787,-0.766326379687588,0.432315044578372,-1.77261094495328,0.0762931968522667,0.258995326156379
"id129359",23.9013281959631,0.0499802050920326,0.271319523009572,0.18421160607108,0.853847454959499,0.95779410165022
"id129360",176.092388424387,-0.748404501731654,0.214175907405647,-3.49434495596268,0.000475226548373218,0.00613042247401452
"id129361",0.547992854774056,0.790438756571354,1.59861608922467,0.49445189617397,0.620987070897044,NA
"id129362",1.17858182792873,0.941897599347685,1.0902049143002,0.863963817253828,0.387607767461205,NA
"id129364",8.04457444784773,-0.553946520792491,0.487219906022808,-1.13695379426176,0.255557602061477,NA
"id129365",6.97203515296689,-0.289899986056929,0.529060590910235,-0.547952334832128,0.583724632131553,NA
"id129366",2.39500654276293,0.955412008917572,0.775586474425976,1.23185749161586,0.218002322803854,NA
"id129367",2.41387914722711,0.78507586639522,0.800539358591769,0.980683657798224,0.326748765239288,NA
"id129369",12.7722867017449,-0.999850797305561,0.373602512266756,-2.67624216774981,0.00744528268931968,0.0480220733461119
"id129375",13.6219208041539,-1.23690688592846,0.398286012779262,-3.10557450234633,0.00189909772829858,0.0188448928423475
"id129380",0.155045558105409,0.709429344963093,3.0414330302705,0.233254961691528,0.815563429386767,NA
"id129387",0.756979377667876,-1.02872883573706,1.54158176170148,-0.667320320786381,0.50456754909303,NA
"id129396",0.16040797841209,-1.23535973861447,3.04027003485204,-0.406332241693324,0.684498498484238,NA
"id129397",0.114393634803877,-0.252356969103644,3.0414330302705,-0.0829730480967387,0.933872970201772,NA
"id129398",0.161835312005362,0.999489724416529,3.03940383927064,0.32884400272929,0.742273601653034,NA
"id129399",7.45528905676905,0.248212606068464,0.425548785271814,0.58327650003729,0.559707179690562,NA
"id129400",6.89499829195667,-0.312145176552443,0.546692437210469,-0.570970357931386,0.568019736239278,NA
"id129401",5.45334334864727,0.235078329202235,0.482573424076578,0.487134843059511,0.62616277586207,NA
"id129402",3.66238344620952,1.08123669430043,0.878207228518039,1.23118628404482,0.218253200113115,NA
"id129403",1290.00081748956,-0.296518392063923,0.226220698713253,-1.31074828143722,0.189942820880327,0.429870594623899
"id129404",2.99945296895371,-0.473264476923682,0.828898044150503,-0.57095619933415,0.568029334012665,NA
"id129406",6.49407967563479,-0.438154142979329,0.51132341446058,-0.856902169132152,0.391498953903769,NA
"id129433",13.1795840595724,-0.683540190630807,0.514416924670909,-1.3287669161898,0.183924880277933,0.423684099211668
"id129434",0.526064695210108,-0.745344807347961,1.93718161075576,-0.384757321259713,0.700417222047295,NA
"id129437",9.08754708808318,0.271862619344097,1.01378855141022,0.268165012285771,0.788572305096021,0.924780248703516
"id129438",0.780395858992177,-1.65819088891691,1.65885873840771,-0.999597404242242,0.317505379856723,NA
"id129439",260.124617510052,-0.340956083325305,0.287218575579559,-1.18709621283133,0.235189672015072,0.487284004020555
"id129442",20.1130642419203,0.565804414493573,0.343600439781559,1.64669292872057,0.0996211784111434,0.273573781745373
"id129443",80.9441277132561,0.106604338932743,0.197157022666793,0.540707794684599,0.588709005045205,0.782922285060117
"id129444",15.3866281572045,-0.101215674565471,0.441817863543182,-0.229089140384154,0.818799633759403,0.94161831329737
"id129445",144.995605831168,0.0937650499823682,0.158306324897063,0.592301350204029,0.553648811926117,0.776311921070316
