Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sel2_SRR1719209.trim_1P	sel2_SRR1719209.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90031.0	0.0	36-100	43.0	36.90617676133776	98.09756639379769	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sel2_SRR1719209.trim_1U	sel2_SRR1719209.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6742.0	0.0	36-100	43.0	76.89113022841887	83.3266093147434	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719209.trim_2P	sel2_SRR1719209.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90031.0	0.0	36-100	43.0	40.7581832924215	96.0916573180349	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
sel2_SRR1719209.trim_2U	sel2_SRR1719209.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	548.0	0.0	36-100	41.0	79.92700729927007	81.75912408759125	pass	pass	fail	warn	warn	fail	pass	warn	pass	fail	pass
sel2_SRR1719211.trim_1P	sel2_SRR1719211.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113889.0	0.0	36-100	43.0	31.788847035271182	98.15975203926631	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719211.trim_1U	sel2_SRR1719211.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6990.0	0.0	36-100	42.0	75.43633762517882	83.25779685264663	pass	pass	fail	pass	fail	warn	pass	warn	pass	fail	pass
sel2_SRR1719211.trim_2P	sel2_SRR1719211.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113889.0	0.0	36-100	43.0	34.695185663233495	96.52523070709199	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719211.trim_2U	sel2_SRR1719211.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	643.0	0.0	36-100	40.0	82.73716951788491	81.8755832037325	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719212.trim_1P	sel2_SRR1719212.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147283.0	0.0	36-100	44.0	31.170603531975853	96.58582456902697	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719212.trim_1U	sel2_SRR1719212.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10091.0	0.0	36-100	46.0	78.22812407095432	77.57031017738579	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719212.trim_2P	sel2_SRR1719212.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147283.0	0.0	36-100	43.0	34.32032210098925	95.4287731781672	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
sel2_SRR1719212.trim_2U	sel2_SRR1719212.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3457.0	0.0	36-100	43.0	83.74312988140005	74.28232571593867	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719213.trim_1P	sel2_SRR1719213.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139301.0	0.0	36-100	44.0	37.264628394627465	98.1132942333508	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719213.trim_1U	sel2_SRR1719213.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8377.0	0.0	36-100	45.0	77.77247224543392	82.2299152441208	pass	pass	fail	pass	fail	warn	pass	warn	pass	fail	pass
sel2_SRR1719213.trim_2P	sel2_SRR1719213.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139301.0	0.0	36-100	44.0	40.752758415230325	96.62833719786649	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719213.trim_2U	sel2_SRR1719213.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	795.0	0.0	36-100	43.0	87.04402515723271	80.29433962264152	pass	pass	fail	pass	warn	fail	pass	warn	pass	fail	pass
sel2_SRR1719214.trim_1P	sel2_SRR1719214.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134768.0	0.0	36-100	45.0	25.96387866555859	98.14466342158376	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719214.trim_1U	sel2_SRR1719214.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8719.0	0.0	36-100	45.0	72.53125358412662	83.09897924073861	pass	pass	fail	pass	fail	warn	pass	warn	pass	fail	pass
sel2_SRR1719214.trim_2P	sel2_SRR1719214.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134768.0	0.0	36-100	44.0	29.231716728006646	96.38948415054018	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719214.trim_2U	sel2_SRR1719214.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	745.0	0.0	36-100	43.0	88.32214765100672	77.9006711409396	pass	pass	fail	pass	fail	warn	pass	warn	pass	fail	pass
sel2_SRR1719241.trim_1P	sel2_SRR1719241.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72070.0	0.0	36-100	44.0	22.612737616206466	98.03518801165534	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
sel2_SRR1719241.trim_1U	sel2_SRR1719241.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5288.0	0.0	36-100	41.0	72.29576399394855	83.49092284417549	pass	pass	fail	pass	fail	fail	pass	warn	pass	warn	pass
sel2_SRR1719241.trim_2P	sel2_SRR1719241.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72070.0	0.0	36-100	42.0	25.26710142916609	95.8267795199112	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
sel2_SRR1719241.trim_2U	sel2_SRR1719241.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	410.0	0.0	36-100	40.0	84.14634146341463	79.4829268292683	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719242.trim_1P	sel2_SRR1719242.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132366.0	0.0	36-100	44.0	37.24219210371243	98.01084870737198	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sel2_SRR1719242.trim_1U	sel2_SRR1719242.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8101.0	0.0	36-100	44.0	77.71880014812986	82.48907542278731	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
sel2_SRR1719242.trim_2P	sel2_SRR1719242.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132366.0	0.0	36-100	44.0	40.632035416949975	96.55044346735566	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
sel2_SRR1719242.trim_2U	sel2_SRR1719242.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	846.0	0.0	36-100	43.0	82.50591016548464	79.13711583924349	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
