Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sel2_SRR1719206.trim_1P	73.74170192942273	43.0	96.68919600916185	27.27272727272727	206072.0
sel2_SRR1719206.trim_1U	26.367515841200046	44.0	77.46320962110435	27.27272727272727	15466.0
sel2_SRR1719206.trim_2P	69.71010132380916	42.0	95.11800729841997	18.181818181818183	206072.0
sel2_SRR1719206.trim_2U	18.43986998916577	42.0	72.9486457204767	27.27272727272727	4615.0
sel2_SRR1719207.trim_1P	66.83527115335653	43.0	98.09559534923194	27.27272727272727	117830.0
sel2_SRR1719207.trim_1U	32.796590101823355	41.0	81.69737153682216	36.36363636363637	8446.0
sel2_SRR1719207.trim_2P	63.71806840363235	42.0	96.64056691844182	18.181818181818183	117830.0
sel2_SRR1719207.trim_2U	15.950069348127599	42.0	80.32732316227462	36.36363636363637	721.0
sel2_SRR1719208.trim_1P	70.27972027972028	45.0	98.19603910301585	27.27272727272727	110682.0
sel2_SRR1719208.trim_1U	24.34061793519217	46.0	83.29791509670937	27.27272727272727	7962.0
sel2_SRR1719208.trim_2P	66.54469561446305	45.0	96.1764153159502	27.27272727272727	110682.0
sel2_SRR1719208.trim_2U	11.226252158894638	44.0	78.37996545768567	27.27272727272727	579.0
sel2_SRR1719209.trim_1P	63.09382323866224	43.0	98.09756639379769	36.36363636363637	90031.0
sel2_SRR1719209.trim_1U	23.108869771581126	43.0	83.3266093147434	36.36363636363637	6742.0
sel2_SRR1719209.trim_2P	59.2418167075785	43.0	96.0916573180349	27.27272727272727	90031.0
sel2_SRR1719209.trim_2U	20.072992700729927	41.0	81.75912408759125	27.27272727272727	548.0
sel2_SRR1719211.trim_1P	68.21115296472883	43.0	98.15975203926631	18.181818181818183	113889.0
sel2_SRR1719211.trim_1U	24.563662374821178	42.0	83.25779685264663	27.27272727272727	6990.0
sel2_SRR1719211.trim_2P	65.3048143367665	43.0	96.52523070709199	18.181818181818183	113889.0
sel2_SRR1719211.trim_2U	17.262830482115092	40.0	81.8755832037325	36.36363636363637	643.0
sel2_SRR1719212.trim_1P	68.82939646802414	44.0	96.58582456902697	27.27272727272727	147283.0
sel2_SRR1719212.trim_1U	21.771875929045677	46.0	77.57031017738579	36.36363636363637	10091.0
sel2_SRR1719212.trim_2P	65.67967789901076	43.0	95.4287731781672	27.27272727272727	147283.0
sel2_SRR1719212.trim_2U	16.25687011859995	43.0	74.28232571593867	36.36363636363637	3457.0
sel2_SRR1719213.trim_1P	62.735371605372535	44.0	98.1132942333508	27.27272727272727	139301.0
sel2_SRR1719213.trim_1U	22.227527754566083	45.0	82.2299152441208	27.27272727272727	8377.0
sel2_SRR1719213.trim_2P	59.247241584769675	44.0	96.62833719786649	18.181818181818183	139301.0
sel2_SRR1719213.trim_2U	12.95597484276729	43.0	80.29433962264152	27.27272727272727	795.0
sel2_SRR1719214.trim_1P	74.03612133444142	45.0	98.14466342158376	27.27272727272727	134768.0
sel2_SRR1719214.trim_1U	27.468746415873383	45.0	83.09897924073861	27.27272727272727	8719.0
sel2_SRR1719214.trim_2P	70.76828327199335	44.0	96.38948415054018	18.181818181818183	134768.0
sel2_SRR1719214.trim_2U	11.677852348993284	43.0	77.9006711409396	27.27272727272727	745.0
sel2_SRR1719241.trim_1P	77.38726238379354	44.0	98.03518801165534	18.181818181818183	72070.0
sel2_SRR1719241.trim_1U	27.704236006051445	41.0	83.49092284417549	27.27272727272727	5288.0
sel2_SRR1719241.trim_2P	74.73289857083391	42.0	95.8267795199112	27.27272727272727	72070.0
sel2_SRR1719241.trim_2U	15.853658536585371	40.0	79.4829268292683	36.36363636363637	410.0
sel2_SRR1719242.trim_1P	62.75780789628757	44.0	98.01084870737198	27.27272727272727	132366.0
sel2_SRR1719242.trim_1U	22.28119985187014	44.0	82.48907542278731	36.36363636363637	8101.0
sel2_SRR1719242.trim_2P	59.367964583050025	44.0	96.55044346735566	27.27272727272727	132366.0
sel2_SRR1719242.trim_2U	17.494089834515364	43.0	79.13711583924349	36.36363636363637	846.0
